Draw_Number,Winning_Number_1,Winning_Number_2,Winning_Number_3,Winning_Number_4,Winning_Number_5,Winning_Number_6
417815,6,8,26,45,47,51
417915,8,10,12,34,47,49
418015,6,9,12,13,20,26
418115,24,42,44,48,53,55
418215,5,10,21,23,29,54
418315,12,13,15,22,24,46
418415,14,16,17,24,39,57
418515,4,5,15,18,24,25
418615,2,12,36,45,53,58
418715,12,24,25,51,52,57
418815,9,15,18,38,52,57
418915,7,19,37,41,47,58
419015,12,18,20,27,42,47
419115,14,19,30,45,50,57
419215,8,17,20,31,52,54
419315,9,13,21,28,29,34
419415,25,35,39,43,45,48
419515,21,27,30,42,52,57
419615,10,13,36,40,50,56
419715,5,19,21,51,54,55
419815,1,22,29,47,55,56
419915,8,13,14,17,31,54
420015,3,7,24,26,33,51
420115,19,28,38,43,53,55
420215,14,30,41,49,54,58
420315,18,22,36,48,54,55
420415,4,7,9,20,30,39
420515,6,21,26,35,41,42
420615,2,9,24,31,49,53
420715,18,19,27,32,36,39
420815,5,10,19,24,26,33
420915,7,12,13,24,32,57
421015,14,16,18,32,48,54
421115,6,22,33,34,39,45
421215,6,23,42,43,45,56
421315,10,15,26,41,53,55
421415,13,14,15,32,47,54
421515,2,19,24,27,39,49
421615,1,4,10,21,48,54
421715,12,14,22,27,31,46
421815,32,33,39,41,54,56
421915,5,7,11,38,44,51
422015,8,20,24,32,33,54
422115,14,20,31,40,50,56
422215,8,35,38,48,49,58
422315,7,14,40,41,48,53
422415,6,13,18,24,35,50
422515,1,42,48,53,57,58
422615,9,36,40,44,50,57
422715,7,12,16,24,31,58
422815,9,11,25,26,29,45
422915,16,26,28,37,43,56
423015,26,33,34,38,44,51
423115,4,5,6,29,32,44
423215,2,9,32,41,47,56
423315,18,20,22,38,47,58
423415,3,13,24,27,28,31
423515,6,25,26,41,49,52
423615,19,29,32,35,43,48
423715,20,35,36,39,45,53
